2021_Canadian_Federal,CPC,LPC,NDP,BQ,GPC,PPC,Others
44430,31,33,21,7,4,3,1
44430,31.4,32.5,20.8,6.1,5.1,3.3,0.8
44430,31.7,32.4,18.2,5.9,3.3,6.6,1
44430,31.7,32.9,17,6.9,4.3,6.3,0.9
44430,29,33,23,6,3,4,2
44429,32.4,34.3,19.3,6.3,4.5,2.4,0.8
44429,30.9,34,19.7,5.9,3.4,5.1,1
44429,32.8,32.4,16.6,6.1,5.2,6.1,0.8
44428,32.3,34.2,20.2,6.1,4.3,2.1,0.9
44428,32.9,31.4,18.3,6.2,4.9,5.7,0.6
44428,32.6,33.9,19.3,4.9,3.7,4.4,1.3
44427,31.9,32.5,19.2,5.7,4.9,5.2,0.7
44427,33.1,33.4,19.8,5,3.6,4,1.1
44426,28.5,30.3,21.7,7.8,4.8,4.3,2.6
44426,32,33.3,20.1,5.5,4.5,3.9,0.7
44426,33,33.6,18.4,5.5,4,4.5,1.1
44425,30.6,34.3,21,5.4,4.2,3.7,0.8
44425,31.7,33.8,18.9,6.1,3.9,4.5,1.1
44425,30,36,20,6,4,4,1
44424,29.4,33.7,20.5,5.4,5.7,4.2,1.1
44424,30,33,20,6,4,5,�
44424,31,36,20,6,5,1,1
44424,26,38,21,6,4,3,1
44424,28,33,22,7,5,3,1
44423,31,28,19,7,8,5,3
44423,29,35,20,7,6,2,2
44423,30.3,34.8,17.4,4.2,6.9,5.1,1.2
44423,30,35,20,7,5,2,1
44423,30.1,33.1,19.1,5.9,3.9,5.6,2.2
