no cpc,LPC,NDP,BQ,GPC,PPC,Others
44425,34.3,21,5.4,4.2,3.7,0.8
44425,33.8,18.9,6.1,3.9,4.5,1.1
44425,36,20,6,4,4,1
44424,33.7,20.5,5.4,5.7,4.2,1.1
44424,33,20,6,4,5,�
44424,36,20,6,5,1,1
44424,38,21,6,4,3,1
44424,33,22,7,5,3,1
44423,28,19,7,8,5,3
44423,35,20,7,6,2,2
44423,34.8,17.4,4.2,6.9,5.1,1.2
44423,35,20,7,5,2,1
44423,33.1,19.1,5.9,3.9,5.6,2.2
